Label,Species,Infected_Status,Risk,ID,Phys_Growth_rate_mean_mm_per_year,Phys_Growth_form,Phys_Repo,Phys_Life_history,days_to_infection,perc_lost_hour,Bac_nautella_italica,Bac_thalassobius_mediterraneus,Bac_pseudoalteromonas_sp,Bac_arthrobacter_ramosus,Bac_pseudomonas_veronii,Bac_endozoicomonas_sp,AntOx_RED660,AntOx_Catalase,AntOx_Prophenyloxidase,AntOx_POX,AntBac_Vibrio_gentimepermgprot,Q95029,Q3SZQ6,Q5ZL16,Q80W94,C9JTQ0,Q8N6G6,P34897,Q28HC7,Q5JU00,Q08CD5,P21670,Q1LU86,Q96P65,B0G143,Q6IND7,Q5ZJA9,Q5R5D8,Q7Z494,A3KP77,Q9JLI8,P11029,A7SE05,Q04336,Q5S1U6,Q5JVL4,Q9BV90,O16025,Q2HJ56,Q8K3Z0,Q91447,Q460N5,Q9CZB9,P38024,Q9SY73,Q9R080,Q6DG99,Q0EEE2,O73792,Q9NXG6,P61357,Q3KQ77,Q01890,K0E4E1,A7SDW5,Q9NQX0,Q5ZID0,A7SFB5,O73874,C3YWU0,Q99578
Ofav_107,Ofav,Control,0.95,107,8.745,massive,spawner,generalist,0,0,0.45342661,0.285011012,0.051820184,2.092239927,0.12955046,0,0.583015267,11.29988724,0.27082436,0.942818225,1.04,8.974436069,11.8199824,5.627512494,4.057344173,5.385810401,6.921830387,8.172368452,7.883711165,5.817369473,7.069426095,8.135438531,5.417191409,6.59768373,5.968384158,6.644541451,5.938347164,6.865873253,6.280692085,6.918536916,4.260082611,5.105894873,7.27790045,3.25217059,8.511201079,5.627725308,7.013201358,7.10907351,4.478458857,4.996702577,7.201033608,-0.8790805,8.017166436,9.242802369,6.106114121,8.54938372,4.558746147,6.805815915,6.030699185,6.937055359,12.01263894,7.753301738,3.690041068,3.482635225,7.204268392,6.626058032,7.555017326,5.682064384,5.410144595,7.482956808,6.392361281
Ofav_108,Ofav,Infected,1,108,8.745,massive,spawner,generalist,6,2.64,3.095428587,10.66295142,28.67823544,0.579358292,0.135183601,0.002758849,0.654580153,3.691994011,0.295488722,0.512517634,0.62,6.869322052,11.74493136,6.404378341,5.058005227,6.181798941,6.750360305,6.507051513,7.662495737,6.439434662,6.881425819,8.407489905,4.275771503,6.086778721,4.179967082,7.252756946,4.997741727,6.729677185,5.564772873,7.223959049,6.639595294,6.326091326,6.87236467,5.006988322,9.46147376,5.855317858,6.568329648,8.25096328,3.338346119,4.94129139,5.830031827,-0.664660254,8.852412817,7.551907826,5.684308286,8.011342992,4.788452087,6.317276841,7.5404207,1.690711489,12.84773828,8.788100911,4.096245261,4.773474961,6.624874998,8.461872749,3.790465809,6.642550706,4.066683302,5.761978903,6.29260107
Past_109,Past,Control,0.1,109,3.721,massive,brooder,weedy,0,0,0.01190025,0.01278175,0.0026445,0.11195049,0.0008815,10.0742223,0.120229008,9.912751044,3.622472849,0.622467998,17.65,9.692324272,12.56155278,4.535134642,4.839636113,6.169045413,4.547559467,8.752963812,8.281822413,6.526995216,5.934228678,9.076465048,4.945358291,5.398558232,4.13629843,7.65347905,7.333132614,7.103598266,4.43881406,6.773756418,6.996193402,6.88289945,7.863654204,7.055952536,8.734951517,2.352760065,6.075023865,7.422194494,7.264288283,4.025432702,6.057883882,7.413466335,7.876908769,10.19629827,7.598893186,6.65105213,4.80266918,6.970291865,6.669438493,5.752554721,11.87638754,6.535799415,7.236921028,6.200371257,8.079698442,3.755412141,5.058189216,6.238655993,6.143339484,5.507081943,6.010201521
Past_110,Past,Infected,0.2,110,3.721,massive,brooder,weedy,6,1.73,1.244506099,0.620252236,0.087368863,0.053355031,0.000666938,0.327466503,0.125,8.739868287,4.410526316,2.188387097,26.4,9.969122024,12.40604057,4.327190643,4.535035395,6.548480782,4.985924577,8.176980631,8.668564061,10.04161414,6.657974042,9.638798461,5.6193957,6.589664793,7.058737682,7.543691407,8.290276566,7.239174628,5.522281284,6.624448237,6.266001907,6.706107797,8.668836935,6.200366846,9.198269936,3.203660175,8.08284616,7.880247368,6.662051458,2.610461844,5.809273747,5.598628684,8.544274775,9.972394856,7.941955319,8.011832897,8.253527598,6.132360716,6.268297043,4.013989424,11.96360153,7.719387275,7.511222364,5.928742497,7.243917543,5.543537042,6.957288958,5.954335673,7.73514073,4.94282627,5.567906242
Past_111,Past,Control,0.1,111,3.721,massive,brooder,weedy,0,0,0.04376128,0.01094032,0,0.19145561,0.03829112,39.89934905,0.272900763,11.64574948,0.376076555,0,0.69,9.943901008,12.78991441,6.207518694,5.886207612,5.792747805,5.653608971,9.320555984,8.523324691,5.150404512,6.134025488,9.817706472,5.66634025,2.898408631,7.237630003,6.980375277,7.91964547,6.866148901,5.406606107,7.459407527,6.099024002,8.232338633,8.228669113,6.998132688,8.811457653,3.891414673,7.489906999,6.783445206,6.618875856,3.528832142,6.488212409,8.224011101,8.259874786,12.27763675,7.776560069,3.221128653,6.414966112,6.405299739,2.771279346,5.65873664,12.42800464,8.326233542,7.029488263,5.556986756,7.781050449,4.51095728,7.342350467,4.903135232,4.032828267,4.735757837,5.395411891
Past_112,Past,Exposed,0.15,112,3.721,massive,brooder,weedy,0,0,0.489542424,0.311443967,0.048406247,0.083112613,0.004566627,61.41839437,0.268129771,6.420358327,1.683199101,0.268114207,3.64,10.42503109,12.54109615,5.890043159,3.10554867,6.187769082,8.086990532,9.047395835,8.642504025,4.739984447,6.76762593,9.352323677,7.735316996,4.34084038,7.461656756,7.437898573,8.513698023,6.888838585,7.634835601,7.830017414,6.382245096,6.862757989,8.336978917,6.945913425,8.411601376,4.222889822,8.291581833,6.528274374,6.643550267,2.517182338,6.32901116,6.825436011,9.473352183,10.67030369,8.193354866,2.989980868,8.731200528,6.18967508,7.432567441,8.23635383,12.13833064,9.182270935,7.272131414,6.141128575,7.732638793,4.870576829,6.766342341,4.648170748,3.395973362,4.566790886,5.339556518
Past_113,Past,Control,0.1,113,3.721,massive,brooder,weedy,0,0,0.124732961,0.121287299,0.022741369,0.106815519,0.00275653,49.99379781,0.158396947,4.807087103,3.88763475,0.395669313,13.52,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Past_114,Past,Exposed,0.15,114,3.721,massive,brooder,weedy,0,0,0.585166673,0.503912491,0.118125828,0.077840141,0.006145274,70.7478116,0.201335878,5.42617415,2.770965328,0.759901282,8.77,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Past_115,Past,Control,0.1,115,3.721,massive,brooder,weedy,0,0,0.150201952,0.073207674,0.026506227,0.100976102,0.001262201,46.41366543,0.449427481,3.75674323,1.326248743,0.143551812,1.64,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Past_116,Past,Exposed,0.15,116,3.721,massive,brooder,weedy,0,0,1.197232997,0.894820269,0.056976311,0.099343311,0.005113259,70.55493466,0.349236641,3.696968627,1.100143802,0.015834404,1.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
